,index,comment,label
2401,2401,pin mà sài hết_hơi nhanhgiá thì hơi cao so với máy ámà lại k có sạc nhanh nữa có hơi thất_vọng,"[ 0.  0.  1.  0.  0.  1.  1.  0.  0.  0. -1. -1.  0. -1. -1.  0.  0. -1.
 -1. -1.]"
2402,2402,e có mua con này được gần nửa tháng mà sao thấy mỗi khi sạc pin máy nóng cx ko phải nóng như khi chơi game nhưng vẫn cảm_nhận rõ_rệt đó có phải bthg ko ạ có ae nào bị giống mih ko ạ,"[ 0.  0.  1.  0.  0.  0.  0.  0.  0.  0. -1. -1.  0. -1. -1. -1. -1. -1.
 -1. -1.]"
2403,2403,sp k có gg nhưng thay_thế bằng các ứng_dụng mới các ứng_dụng cài vào xài rất ổn_định máy tầm thấp mà có tặng cả tai phone 🥰 mình tải liên_quân ở app aurora chạy mượt nói_chung ổn_định không có vấn_đề gì nên các fen đừng ngại nha_🤗,"[ 0.  1.  0.  1.  0.  1.  0.  0.  1.  0. -1.  2. -1.  2. -1.  2. -1. -1.
  2. -1.]"
2404,2404,"cho hỏi ai dùng a như mình ko tưởng đổi máy này lau hêt pin dùng cả ngày 
 chỉ gởi mail lướt web ko choi games thỉnh_thoảng xem youtube ngày sạc lần mình tất hết chế ngầmchán thật","[ 0.  0.  1.  0.  0.  1.  0.  0.  0.  0. -1. -1.  0. -1. -1.  0. -1. -1.
 -1. -1.]"
2405,2405,mọi thứ đều ổn ngoại_trừ pin pin ảo quá mà thua cái j pro hồi xưa mình xài nói_chung để g cả ngày chỉ nt zalo và kakaotalk để làm_việc thôi_thì tới pm thì còn bạn nào ko quá so_đo về pin thì mọi thứ con này ổn,"[ 0.  0.  1.  0.  0.  1.  0.  0.  0.  0. -1. -1.  0. -1. -1.  2. -1. -1.
 -1. -1.]"
2406,2406,máy ngon pin trâu cam cũng được chơi game miễn bàn chỗ mình mua nhân_viên phục_vụ tốt xứng_đáng vs số tiền bỏ ra,"[ 1.  0.  1.  1.  0.  1.  1.  0.  1.  0.  2. -1.  2.  2. -1.  2.  2. -1.
  2. -1.]"
2407,2407,máy ngon nhất trong tất_cả các máy cùng tầm giá vụ gg có nhiều các xử_lý nếu tìm_hiểu mua được tuần xài cực thích,"[ 0.  0.  0.  0.  0.  1.  1.  0.  0.  0. -1. -1. -1. -1. -1.  2.  1. -1.
 -1. -1.]"
2408,2408,tạm ổn nhưng cái camera selfi chụp màu ám vàng vô_cùng ko biết do máy mình hay dòng máy này nó như vậy con a của bạn mình cái cmr selfi củng ám vàng y_như vậy chán thật,"[ 1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  0. -1. -1. -1. -1.  1. -1. -1.
 -1. -1.]"
2409,2409,sao cho note mình nhân_viên tư vẫn rất nhiệt tìnhsản phẩm rất tốt máy chạy mượt,"[ 0.  0.  0.  1.  0.  1.  0.  0.  1.  0. -1. -1. -1.  2. -1.  2. -1. -1.
  2. -1.]"
2410,2410,mình mua sản_phẩm này được gần tháng mấy ngày đầu_máy sạc không có dấu_hiệu nóng lắm nhưng dạo gần đây khi sạc máy rất nóng loa thì lúc to lúc nhỏ pin chạy ngầm vẫn khá ngốn dù bật chế_độ quản_lí pin mong nhận được phản_hồi,"[ 0.  1.  1.  0.  0.  0.  0.  0.  0.  0. -1.  0.  0. -1. -1. -1. -1. -1.
 -1. -1.]"
2411,2411,máy của tôi vismart live máy sau khi cập_nhật phần_mềm thì map không điều hướng không dẫn đường thông_báo như tin nhắn mesenger không có như thế không_thể liên_lạc thường_xuyên được phải vào ứng_dụng mới phát_hiện là có tin hay không,"[ 0.  1.  0.  1.  0.  0.  0.  0.  0.  0. -1.  0. -1.  0. -1. -1. -1. -1.
 -1. -1.]"
2412,2412,mua đợt đầu giá k ngon bổ rẻ trong tầm giá sử_dụng gần tháng thấy vẫn oke ae cứ hàng việt người việt ủng_hộ để phát_triển đất_nước,"[ 0.  0.  0.  0.  0.  1.  1.  0.  1.  0. -1. -1. -1. -1. -1.  2.  2. -1.
  2. -1.]"
2413,2413,"máy dùng tạm ổn trong tầm giá tản_nhiệt hơi kém 
 về camera iso chụp thiếu sáng rất tốt camera sau chỉ khoảng m không phải pin sau một thời_gian sử_dụng có dấu_hiệu xuống_cấp cụ_thể là chơi pubg bạn đầu h sau tháng h đã reset cấu_hình mượtcao","[ 1.  0.  1.  1.  0.  1.  1.  0.  0.  0.  2. -1.  0.  0. -1.  1.  1. -1.
 -1. -1.]"
2414,2414,máy rất như mong_đợi thật tuyệt_vời chơi game không lo giật lag,"[ 0.  0.  0.  1.  0.  1.  0.  0.  0.  0. -1. -1. -1.  2. -1.  2. -1. -1.
 -1. -1.]"
2415,2415,sai_lầm lớn nhất khi mua đt redmi s goi gọn chu thất_vọng hút mang yếu mat mạng lien tục cái này chỉ tầm giá triệu là vừa,"[ 0.  1.  0.  0.  0.  1.  1.  0.  0.  0. -1.  0. -1. -1. -1.  0.  0. -1.
 -1. -1.]"
2416,2416,"sau bốn tháng sử_dụng mình thấy điện_thoại đơ đi nhiều 
 pin tụt nhanh 
 chip chơi game quá giật lag mặc_dù ram gb 
 và đặc_biệt muốn mở khóa điện_thoại phải ấn hai lần nút nguồn khá thất_vọng nếu_như được chọn lại mình sẽ chọn không mua","[ 0.  1.  1.  1.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0. -1. -1. -1. -1.
 -1. -1.]"
2417,2417,dạ máy rất tốt nói_chung là rất tốt không có gì để nói pin trâu sạc nhanh chụp hình đẹp chipset xịn,"[ 1.  0.  1.  1.  0.  1.  0.  0.  0.  0.  2. -1.  2.  2. -1.  2. -1. -1.
 -1. -1.]"
2418,2418,mặc_dù mua máy qsd nhưng trải nghiệm rất tuyệt pin trâu chơi lq trận bật gần max cấu_hình mất có phút còn lại xem youtube chụp ảnh nghe nhạc đều ok hết đó là ý_kiến riêng của mk dùng trong ngày ko lên adr vì nhiều ng phàn_nàn đặc_biệt là nhân_viên rất nhiệt_tình và mấy chị ở đường hữu hưng rất xinh nữa,"[ 0.  0.  1.  1.  0.  1.  0.  0.  1.  0. -1. -1.  2.  2. -1.  2. -1. -1.
  2. -1.]"
2419,2419,tầm giá này là quá ô_kê rồimấy thánh còn đòi_hỏi gì nữa điểm cho sản_phẩm 🤪 🤪 🤪,"[ 0.  0.  0.  0.  0.  1.  1.  0.  0.  0. -1. -1. -1. -1. -1.  2.  1. -1.
 -1. -1.]"
2420,2420,lúc em mua thì loa rất la rè đến tgdd em thử qua nhiều máy vẩn rè máy nào cũng vậy đến khi em cập nhựt phần mền thì hoàng toàn không còn rè nửa mà nghe hơi nhỏ hơn một chúccòn phần gọi điện_thoại phản_hồi chậm quá rat mông khắc_phục lợi lổi nầy,"[ 0.  1.  0.  0.  0.  0.  0.  0.  1.  0. -1.  0. -1. -1. -1. -1. -1. -1.
  0. -1.]"
2421,2421,lúc nhận dt hộp thì đã ko còn nguyên bạn tư_vấn nói do đem về thì trưng_bày trên kệ nên đem ra bán luôn đảm_bảo hàng mới chưa qua sử dụngbạn còn nói tất_cả dt đều như_vậy chỉ có iphone là hộp còn nguyên vẹnthôi mình thích nên lấy lunmình chỉ thắc_mắc ngày mua mà ngày kích_hoạt,"[ 0.  0.  0.  0.  0.  0.  0.  0.  1.  0. -1. -1. -1. -1. -1. -1. -1. -1.
  0. -1.]"
2422,2422,mình cũng nhận máy ngày do cv nên dùng máy_tính nhiều hơnmình thấy máy mau hết pin quátrong khi mình chỉ sử dùng lên face book k chơi game,"[ 0.  0.  1.  0.  0.  0.  0.  0.  0.  0. -1. -1.  0. -1. -1. -1. -1. -1.
 -1. -1.]"
2423,2423,máy khá ngon biết cách dùng ko gì là ko thể pin dùng lâu hay nhanh tụt do người dùng cả 😆 😆,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0. -1. -1. -1. -1. -1.  2. -1. -1.
 -1. -1.]"
2424,2424,sử_dụng rất đã sài rất ngon mượt mà s pen thì khỏi chê vào đâu đc màn_hình tràn viền cực mỏng năm nay samsung làm rất tốt,"[ 0.  0.  0.  1.  1.  1.  0.  0.  1.  0. -1. -1. -1.  2.  2.  2. -1. -1.
  2. -1.]"
2425,2425,mới mua được hơn tuần mọi thứ đều ok nhân_viên phục_vụ tận_tình trò truyện vui_vẻ dt thì quá ngon để qua đêm có khi tụt có khi k tụt pin xài đc hơn ngày chỉ lướt face youtube mình xài khá nhìu,"[ 0.  0.  1.  0.  0.  1.  0.  0.  1.  0. -1. -1.  2. -1. -1.  2. -1. -1.
  2. -1.]"
2426,2426,cho e hoi iphone plus tra truoc đ thoi gian tra góp trong thang thi mỗi tháng phải trả bao nhieu ah,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]"
2427,2427,rất nhiệt_tình vs khách_hàng điện_thoại ok xem phim ok loa to với giá tr thì tui đã đc sổ hửu đt như_ý,"[ 0.  1.  0.  1.  0.  1.  1.  0.  1.  0. -1.  2. -1.  2. -1.  2.  2. -1.
  2. -1.]"
2428,2428,mới mua xong dùng khá ok hơi nóng máy tý chơi game liên_quân tốt khá mượn cấu_hình ngon trong tầm giá nhân_viên dmx nhiệt_tình,"[ 0.  0.  0.  1.  0.  1.  1.  0.  1.  0. -1. -1. -1.  1. -1.  2.  1. -1.
  2. -1.]"
2429,2429,minh mua nhiều lan roi nv nhiệt tinh chu dao may thi ok lưot rất muot noi chung la hai long,"[ 0.  0.  0.  1.  0.  1.  0.  0.  1.  0. -1. -1. -1.  2. -1.  2. -1. -1.
  2. -1.]"
2430,2430,chơi game khá lag đáp_ứng tốt nhu_cầu cơ_bản nghe gọi mạng xã_hội lướt web nhân_viên giao hàng_phục_vụ tận_tình,"[ 0.  1.  0.  1.  0.  0.  0.  0.  1.  0. -1.  2. -1.  0. -1. -1. -1. -1.
  2. -1.]"
2431,2431,pin hảo nhanhmáy cực_kì nóng khi sạc và chơi game còn mọi thứ khác thì ổnnnnnnnnn,"[ 0.  0.  1.  1.  0.  1.  0.  0.  0.  0. -1. -1.  0.  0. -1.  2. -1. -1.
 -1. -1.]"
2432,2432,máy sài rất ổn camera đẹp máy cảm_ứng mượt mạng mạnh máy nhẹ cầm rất vừa taycảm ơn samsung,"[ 1.  1.  0.  0.  1.  1.  0.  0.  0.  0.  2.  2. -1. -1.  2.  2. -1. -1.
 -1. -1.]"
2433,2433,máy tốt pin trâu sau khi ổn_định máy đẹp chắc_tay tuy hơi dày camera ổn chụp đêm chưa tốt lắm trong điều_kiện thiếu sáng dc tặng tai_nghe ok nên mua trong tầm giá,"[ 1.  0.  1.  0.  1.  1.  1.  0.  1.  0.  1. -1.  2. -1.  1.  2.  1. -1.
  2. -1.]"
2434,2434,"mới cầm triệu tiền_lẻ vô tgdđ mua iphone pro mã nhưng thái_độ nhân_viên phục_vụ thì 
 link xem httpsyoutubeavdktkbuo","[ 0.  0.  0.  0.  0.  0.  0.  0.  1.  0. -1. -1. -1. -1. -1. -1. -1. -1.
  1. -1.]"
2435,2435,mjh mới đổi dt oppo reno f oppo reno đc ngay thấy sai ok lam reno f sai k im lam sai k hài_lòng oppo reno ok nhé mấy bạn,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0. -1. -1. -1. -1. -1.  2. -1. -1.
 -1. -1.]"
2436,2436,máy tốt chỉ tiếc là thiết_kế bằng nhựa nên giá_thành đắt hơn so với tầm giá dù_sao cũng khá hài_lòng về sản_phẩm,"[ 0.  0.  0.  0.  1.  1.  1.  0.  0.  0. -1. -1. -1. -1.  1.  2.  0. -1.
 -1. -1.]"
2437,2437,quá tuyệt luôn máy_ảnh chụp đẹp hiệu_năng ổn_định ưng nhất quả màn vì chạy ứng_dụng hay đi dưới trời nắng thì a quá đỉnh rồi về màn luôn 🥰 🥰,"[ 1.  0.  0.  1.  0.  1.  0.  1.  0.  0.  2. -1. -1.  2. -1.  2. -1.  2.
 -1. -1.]"
2438,2438,dùng tháng nhưng bảo_hành đến lần liên_tục vì lỗi sạc không vào dù là fan của samsung nhưng lần này là bảo_hành không được nữa là cách luôn quá tam ba bận,"[ 0.  0.  1.  0.  0.  0.  0.  0.  1.  0. -1. -1.  0. -1. -1. -1. -1. -1.
  0. -1.]"
2439,2439,"mới cập_nhật bản vá lỗi cammera bật lênh cứ kêu cạch cạch cạch tắc nguồn mở lại ko vào camera mà có hiện_tượng 
 camera kêu tạch và rung nhẹ","[ 0.  0.  0.  1.  0.  0.  0.  0.  0.  0. -1. -1. -1.  0. -1. -1. -1. -1.
 -1. -1.]"
2440,2440,sản_phẩm quá tồi không có ghi_âm cuộc_gọi hối_hận khi dùng sp đc ngày quá nhiều tính_năng phóng_đại,"[ 0.  1.  0.  0.  0.  1.  0.  0.  0.  0. -1.  0. -1. -1. -1.  0. -1. -1.
 -1. -1.]"
2441,2441,sản_phẩm tốt thiết_kế đẹp bắt_mắt camera chụp ảnh siêu đẹppin sài ổn sạc nhanh không gây nóng máy sản_phẩm đáng để trải nghiệm 🥰 🥰 🥰,"[ 1.  0.  1.  0.  1.  1.  0.  0.  0.  0.  2. -1.  2. -1.  2.  2. -1. -1.
 -1. -1.]"
2442,2442,pin sạc quá lâu pai hơn h mới đầysac thì nóng_rực 🥵 dt loa nghe nhỏnói chung không ưng,"[ 0.  1.  1.  0.  0.  1.  0.  0.  0.  0. -1.  0.  0. -1. -1.  0. -1. -1.
 -1. -1.]"
2443,2443,mình mua avt hồi tới giờ mọi thứ đều ổn mấy ngày đầu thì pin trâu ổn để qua đêm không xài bị xuống hay không xuống nào nhưng sau mấy ngày thì lúc không xài máy xuống pin nhanh kinh_khủng trường_hợp này mong tgdd cho đổi trả ạ chứ dùng z sợ quá,"[ 0.  0.  1.  0.  0.  1.  0.  0.  0.  0. -1. -1.  0. -1. -1.  2. -1. -1.
 -1. -1.]"
2444,2444,máy as dùng rất ok tôi cảm_thấy vui khi dùng đến as pin cũng ok,"[ 0.  0.  1.  0.  0.  1.  0.  0.  0.  0. -1. -1.  2. -1. -1.  2. -1. -1.
 -1. -1.]"
2445,2445,"với mức giá thì tạm được còn theo cá_nhân mình thì mình k thích đt này 
 đt màn_hình sáng tối bất_thường mua về ngày thứ hai khi dùng mình đã phát_hiện ra 
 đt lấy nét quá chậm và không lấy nét cận_cảnh được 
 dung_lượng cùi chơi game nếu dung_lượng nặng là tự_động out game 
 máy đơ k mượt 
 với giá tr thì mua đt hãng khác mình nghĩ okela hơn con này","[ 1.  0.  0.  1.  0.  1.  1.  1.  0.  1.  0. -1. -1.  0. -1.  0.  1.  0.
 -1.  0.]"
2446,2446,hiện_đại và đúng người dùng 😄 😄 cam rõ đẹp trượt mượt nhiều kiểu và chất_lượng,"[ 1.  0.  0.  0.  0.  1.  0.  0.  0.  0.  2. -1. -1. -1. -1.  2. -1. -1.
 -1. -1.]"
2447,2447,tuyệt_vời chơi game rất ngon cam đẹp màn cũng đẹp nỗ chung là ổn nhân_viên nhiệt_tình,"[ 1.  0.  0.  1.  0.  1.  0.  1.  1.  0.  2. -1. -1.  2. -1.  2. -1.  2.
  2. -1.]"
2448,2448,quá tệ pin tụt nhanh chụp ảnh không nét vân tay không nhạy máy lag hối_hận khi mua,"[ 1.  1.  1.  1.  0.  1.  0.  0.  0.  0.  0.  0.  0.  0. -1.  2. -1. -1.
 -1. -1.]"
2449,2449,sản_phẩm tốt mọi mặt trừ loa hơi nhỏ nghe ít hay với camera trước ảo quá và màu nhợt_nhạt,"[ 1.  1.  0.  0.  0.  1.  0.  0.  0.  0.  0.  0. -1. -1. -1.  2. -1. -1.
 -1. -1.]"
2450,2450,thiết_kế nguyên khối sang_trọng pin sài ổn_định ngày màn_hình sáng hiển_thị tốt camera kép chup hình xóa_phông tuyệt_vời sản_phẩm đáng mua trong tầm giá,"[ 1.  0.  1.  0.  1.  1.  1.  1.  0.  0.  2. -1.  2. -1.  2.  2.  1.  2.
 -1. -1.]"
2451,2451,nhọ quá camera lồi sước dán cường_lực camera cũng bong ko bít giờ làm j cho hết xướccác thứ còn lại ngon k phàn_nàn,"[ 0.  0.  0.  0.  1.  1.  0.  0.  0.  0. -1. -1. -1. -1.  0.  2. -1. -1.
 -1. -1.]"
2452,2452,"đt hình_dáng đẹp nhưng chất_lượng thì k đc ok cho lắm k phù_hợp với giá tiền 
 vừa mua hôm_qua mà hôm_nay đã có hiện_tượng đứng máy tuy không chơi game chỉ cấp quyền cho số ứng_dụng mà đứng hồi lâu vd cho phép truy_cập vị_trí cho phép vào bộ sưu tậpvv vừa đc ngày mà đã vậy không biết tuần tháng sẽ ra sau mong mọi người cân_nhắc trước khi mua","[ 0.  0.  0.  1.  1.  1.  1.  0.  0.  0. -1. -1. -1.  0.  2.  0.  0. -1.
 -1. -1.]"
2453,2453,máy đẹp mượt pin trâu dùng dò vé_số khá ổn,"[ 0.  0.  1.  1.  0.  1.  0.  0.  0.  0. -1. -1.  2.  2. -1.  2. -1. -1.
 -1. -1.]"
2454,2454,minh mua đc ngày thấy ổn chụp hình rõ nét màn_hình to màu săc nét máy mỏng đẹp pin khá là ngon_lành mjnh làm bưu_tá nghe gọi suôt ngày mà ság ra sạc đầy pin hoạt_động gần như liên_tục mà tới luc đi ngủ tầm sau h đêm mới báo sạc pin hiện_tại chưa có j phải phàn_nàn ko biêt lâu_dài ra sao,"[ 1.  0.  1.  0.  1.  1.  0.  1.  0.  0.  2. -1.  2. -1.  2.  2. -1.  2.
 -1. -1.]"
2455,2455,tui khi chơi liên_quân tuy giảm cấu_hình đồ_họa của game xuống mức tiêu_chuẩn vẫn bị giật_mình nhà sx chỉ giải_pháp khắc_phục cảm_ơn,"[ 0.  0.  0.  1.  0.  0.  0.  0.  0.  0. -1. -1. -1.  0. -1. -1. -1. -1.
 -1. -1.]"
2456,2456,bin mau hết kg xai vân vâyvân tay qua yếu theo gia_sản_phẩm thì chưa được hài_long,"[ 0.  1.  1.  0.  0.  1.  1.  0.  0.  0. -1.  0.  0. -1. -1.  0.  0. -1.
 -1. -1.]"
2457,2457,"đã mua và không hối_hận 
 trên cả tuyệt_vời ông mặt_trời 
 cám_ơn tgdđ nhé chúc tgdđ ngày_càng phát_triển","[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0. -1. -1. -1. -1. -1.  2. -1. -1.
 -1. -1.]"
2458,2458,rất ngon trong tầm giá camera đẹp pin trâu game mượt nhưng có cái là không bật đc fps cao liên_quân,"[ 0.  0.  0.  1.  0.  1.  1.  0.  0.  0. -1. -1. -1.  1. -1.  2.  1. -1.
 -1. -1.]"
2459,2459,đây là sản_phẩm mình thấy hài_lòng nhất cả về thiết_kế và hiệu_năng tầm giá này thì mấy cn đến triệu khó qua nổi con này hãy gạt bỏ suy_nghĩ sai_lầm về điện_thoại trung quốc chị tiên ở shop đường hùng vương huế nhiệt_tình vui_vẻ rất hài_lòng,"[ 0.  0.  0.  1.  1.  1.  1.  0.  1.  0. -1. -1. -1.  2.  2.  2.  1. -1.
  2. -1.]"
2460,2460,điện_thoại sài nói_chung tạm ổn nhưng thất_vọng dt chụp màn_hình rất khó_khăn hơi thất_vọng vì nhu_cầu cv mình cần chụp màn_hình nhìu,"[ 0.  1.  0.  0.  0.  1.  0.  0.  0.  0. -1.  0. -1. -1. -1.  1. -1. -1.
 -1. -1.]"
2461,2461,đã mua dùng được tháng và mấtvivo y sự lựa_chọn tuyệt_vời pin trâu chơi game lâu camera tạm ổn tác vụ nhanh ok,"[ 1.  0.  1.  1.  0.  1.  0.  0.  0.  0.  1. -1.  2.  2. -1.  2. -1. -1.
 -1. -1.]"
2462,2462,mới mua được một ngày pin kém thôi rồi ae lên suy_nghĩ_lại trước khi mua với giá tiền vậy lên mua ss thì hơn,"[ 0.  0.  1.  0.  0.  1.  1.  0.  0.  0. -1. -1.  2. -1. -1.  0.  0. -1.
 -1. -1.]"
2463,2463,sản_phẩm dùng rất tốt thiết_kế đẹp sang_trọng pin sử_dụng khá lâu mình rất thích thái_độ phục_vụ của nhân_viên rất nhiệt_tình chu_đáo,"[ 0.  0.  1.  0.  1.  1.  0.  0.  1.  0. -1. -1.  2. -1.  2.  2. -1. -1.
  2. -1.]"
2464,2464,tôi mới mua có nhận_xét như sau pin rất trâu bắt wifi khỏe ngon trong tầm giá nhân_viên nhiệt_tình,"[ 0.  1.  1.  0.  0.  0.  1.  0.  1.  0. -1.  2.  2. -1. -1. -1.  1. -1.
  2. -1.]"
2465,2465,điện_thoại mua được hơn tuần nhưng pin tụt rất nhanh tắt màn hìnhkhông có ứng_dụng chạy ngầm để không tiếng đồng hộ tụt hẳn ngồi xem youtube tiếng mà mất gần pin thật_sự là quá thất_vọng với viên pin có dung_lượng mah,"[ 0.  0.  1.  0.  0.  1.  0.  0.  0.  0. -1. -1.  0. -1. -1.  2. -1. -1.
 -1. -1.]"
2466,2466,đã mua ở điện_máy xanh rất tốt giá ntn thì không đòi_hỏi j hơn nhân_viên nhiệt_tình tư_vấn chu_đáo,"[ 0.  0.  0.  0.  0.  1.  1.  0.  1.  0. -1. -1. -1. -1. -1.  2.  1. -1.
  2. -1.]"
2467,2467,máy ngon cầm pin trâu chơi liên_quân tiếng mà còn vãi thật lại còn mượt,"[ 0.  0.  1.  1.  0.  1.  0.  0.  0.  0. -1. -1.  2.  2. -1.  2. -1. -1.
 -1. -1.]"
2468,2468,sai_lầm lớn nhất khi mua oppo a máy nhanh nóng pin nhanh hết k làm gì pin cũng het,"[ 0.  0.  1.  1.  0.  1.  0.  0.  0.  0. -1. -1.  0.  0. -1.  0. -1. -1.
 -1. -1.]"
2469,2469,rất tốt sản_phẩm này thật tuyệt tôi dùng cho công_việc và giải_trí đều thích mê,"[ 0.  0.  0.  0.  0.  1.  0.  0.  0.  0. -1. -1. -1. -1. -1.  2. -1. -1.
 -1. -1.]"
2470,2470,pin sài hao nhanh cho minh hỏi sac pin sài het duoc pao nhieu tieng vay,"[ 0.  0.  1.  0.  0.  0.  0.  0.  0.  0. -1. -1.  0. -1. -1. -1. -1. -1.
 -1. -1.]"
2471,2471,hàng ss s pin khoẻ vào mạng tốt_đẹp camera rõ loa to không_thể tin nổi thật tuyệt_vời,"[ 1.  1.  1.  0.  1.  1.  0.  0.  0.  0.  2.  2.  2. -1.  2.  2. -1. -1.
 -1. -1.]"
2472,2472,mở khoá vân tay kém pin tệ hệ điều_hành vài_ba bữa không kết_nối bluetooth phải khởi_động lại,"[ 0.  1.  1.  1.  0.  0.  0.  0.  0.  0. -1.  0.  0.  0. -1. -1. -1. -1.
 -1. -1.]"
2473,2473,điện_thoại_thiết kê đẹp xài rất bền xài hớn năm rồi mà pin vân tốt không hề bị xuống pin mình sạc đủ mà mình xài gần h mới hết mặc_dù mình lên mạng curh khá nhiều rất thích chế đọ bảo_hành bên điện_máy xanh nhân_viên phục_vụ rất tốt,"[ 0.  0.  1.  0.  1.  1.  0.  0.  1.  0. -1. -1.  2. -1.  2.  2. -1. -1.
  2. -1.]"
2474,2474,nói thật khuyên các bạn đừng nên muatôi mua ngày mà dùng pin thì nhanh hếtvào mạng thì kém kinhkhông bằng oppo foppo vào mạng ầm_ầm mà con này thì mạng quay tít,"[ 0.  1.  1.  0.  0.  1.  0.  0.  0.  0. -1.  0.  0. -1. -1.  0. -1. -1.
 -1. -1.]"
2475,2475,máy quá tốt nhưng hơi buồn vì hết màu trắng đành lấy xanh lá haizzzzzzz chơi game tốt máy chỉ ấm nếu tháo ốp lưng,"[ 0.  0.  0.  1.  0.  1.  0.  0.  0.  0. -1. -1. -1.  2. -1.  2. -1. -1.
 -1. -1.]"
2476,2476,mấy đẹp tương_đối tốt chụp hình tốt nhưng khi sai chơi gam máy hơi nongnhưng pin thì khá trâu và sạc rất nhanh đây là điểm cộng rất lớnnhưng điều tốt nhất vẫn là thái_độ phục_vụ chuyện nghiệp của nhân_viên thế_giới đi động,"[ 1.  0.  1.  1.  1.  1.  0.  0.  1.  0.  2. -1.  2.  0.  2.  2. -1. -1.
  2. -1.]"
2477,2477,đẹp phân_vân với joy nhưng cầm trực_tiếp thì vivo hơn hẳn đẹpppppppppppppppp,"[ 0.  0.  0.  0.  1.  0.  0.  0.  0.  0. -1. -1. -1. -1.  2. -1. -1. -1.
 -1. -1.]"
2478,2478,máy này xài rất ok nhưng loa rất rè chịu ko nổi vì mới mua xài nên hôm_nay mới lấy ra nghe hơi rè,"[ 0.  1.  0.  0.  0.  1.  0.  0.  0.  0. -1.  0. -1. -1. -1.  2. -1. -1.
 -1. -1.]"
2479,2479,máy mua được gần tuần rồi vẫn chưa thấy lỗi gì nên cho saochờ theo_dõi tiếp xem sau nhìn_chung hiệu_năng máy tốtổn trong tầm giáthao tác trên máy siêu nhanh do ram gb với con snap siêu mạnh chiến các tựa game lớn mượtít bị giật lag camera chụp đẹp bộ_nhớ gb có gần gb lưu trữmáy mua ngày chưa thấy có hiện_tượng trắng màn_hình tóm lại máy tốtrẻđẹp,"[ 1.  0.  0.  1.  1.  1.  1.  0.  0.  1.  2. -1. -1.  2.  2.  2.  2. -1.
 -1.  2.]"
2480,2480,kết_nối sóng điện_thoại kém wifi kém bluetooth thì quá giật không bằng j plus mình dùng trước,"[ 0.  1.  0.  0.  0.  0.  0.  0.  1.  0. -1.  0. -1. -1. -1. -1. -1. -1.
  0. -1.]"
2481,2481,máy dùng ok sạc đầy pin dùng dc cả ngày cái tei nghe bluetooth itfit sao không next bài dc trên tai_nghe vậy ad ơi,"[ 0.  0.  1.  0.  0.  1.  0.  0.  1.  0. -1. -1.  2. -1. -1.  2. -1. -1.
  0. -1.]"
2482,2482,sản_phẩm bảo_hành quá tệ mới mua được tuần thì không tắt được nguồn đem đi bảo_hành thì báo hư chân sạc phải nộp k mới sửa_chữa nản đang trong thời_gian trả_góp lừa_đảo,"[ 0.  0.  0.  1.  0.  0.  0.  0.  1.  0. -1. -1. -1.  0. -1. -1. -1. -1.
  0. -1.]"
2483,2483,tuyệt_vời quá pin camera ai snapdragon giá chỉ còn tr thật là một sự lựa_chọn đáng để cân_nhắc,"[ 1.  0.  1.  1.  0.  1.  1.  0.  0.  0.  1. -1.  1.  1. -1.  2.  2. -1.
 -1. -1.]"
2484,2484,có ai bị quảng_cáo liên_tục khi không sử_dụng máy không ạ mình rất bực_mình về lỗi này có khi đang chơi game thì hiện quảng_cáo rồi tự khóa màn_hình lại bực_mình,"[ 0.  0.  0.  1.  0.  0.  0.  0.  0.  0. -1. -1. -1.  0. -1. -1. -1. -1.
 -1. -1.]"
2485,2485,"máy sài ổn nhân_viên nhiệt_tình 
 mà cho hỏi sạc máy có khả_năng tự ngắt nguồn khi pin đầy không ạ","[ 0.  0.  1.  0.  0.  1.  0.  0.  1.  0. -1. -1.  1. -1. -1.  2. -1. -1.
  2. -1.]"
2486,2486,mọi thứ đều ok nhưng pin mau hết quá lướt fb có h mà mất gần như_vậy là lỗi pin hay dòng iphone kiểu vậy ai minh chưa dùng iphone bh,"[ 0.  0.  1.  0.  0.  1.  0.  0.  0.  0. -1. -1.  0. -1. -1.  2. -1. -1.
 -1. -1.]"
2487,2487,sao iphone mới mua mà đã bị lag rồi khi vô google đánh chữ thì bị lag mặc_dù tải không hề nhiều,"[ 0.  0.  0.  1.  0.  0.  0.  0.  0.  0. -1. -1. -1.  0. -1. -1. -1. -1.
 -1. -1.]"
2488,2488,mua máy ngày hôm quacông nhận là quá tốt so với số tiền bỏ rapin tuy dung_lượng ít nhưng dùng lâu tụtmáy ít nónggood,"[ 0.  0.  1.  1.  0.  1.  1.  0.  0.  0. -1. -1.  2.  2. -1.  2.  2. -1.
 -1. -1.]"
